LAMMPS data file. CGCMM style. atom_style full generated by VMD/TopoTools v1.6 on Mon Jul 03 13:59:04 CDT 2017
 6144 atoms
 4096 bonds
 2048 angles
 0 dihedrals
 0 impropers
 2 atom types
 1 bond types
 1 angle types
 0 dihedral types
 0 improper types
 0.000000 31.502001  xlo xhi
 0.000000 29.840000  ylo yhi
 0.000000 68.840800  zlo zhi

 Masses

 1 1.007940 # H
 2 15.999400 # O

Pair Coeffs

    1      0.00000000               0
    2      0.18530000      3.15885958

Bond Coeffs

    1            5530          0.9572 # HW OW

Angle Coeffs

    1            1000          104.52 # HW OW HW

 Atoms

1 1 2 0.000000 3.705670 3.217340 15.679900
2 1 1 0.000000 2.881240 3.691520 15.571700
3 1 1 0.000000 4.150850 3.670200 16.396100
4 2 2 0.000000 5.433350 0.013955 0.222885
5 2 1 0.000000 5.143210 0.128033 -0.682100
6 2 1 0.000000 6.379690 0.154090 0.190990
7 3 2 0.000000 0.103773 0.860935 0.122719
8 3 1 0.000000 -0.006100 1.810860 0.080324
9 3 1 0.000000 0.587289 0.639532 -0.673200
10 4 2 0.000000 1.613550 0.251674 15.995300
11 4 1 0.000000 1.132500 0.562535 15.228400
12 4 1 0.000000 2.528010 0.231762 15.713200
13 5 2 0.000000 5.231110 4.858570 13.834700
14 5 1 0.000000 5.324370 5.780340 14.075200
15 5 1 0.000000 4.716230 4.476030 14.545200
16 6 2 0.000000 7.905710 3.569860 13.867700
17 6 1 0.000000 7.064840 4.007790 13.999600
18 6 1 0.000000 8.495050 3.987860 14.495600
19 7 2 0.000000 1.206060 4.714850 15.451800
20 7 1 0.000000 1.288270 5.668110 15.479600
21 7 1 0.000000 0.622750 4.502920 16.180500
22 8 2 0.000000 4.321750 0.625700 15.928500
23 8 1 0.000000 4.113080 1.559880 15.927800
24 8 1 0.000000 4.410380 0.398928 15.002800
25 9 2 0.000000 11.887900 3.155050 16.093600
26 9 1 0.000000 11.064800 3.642840 16.123000
27 9 1 0.000000 12.413400 3.528130 16.801300
28 10 2 0.000000 13.409300 29.534300 0.284825
29 10 1 0.000000 12.957700 29.929434 -0.460900
30 10 1 0.000000 14.330300 29.760700 0.155052
31 11 2 0.000000 8.183330 0.675817 0.464040
32 11 1 0.000000 7.884520 1.582180 0.390246
33 11 1 0.000000 8.488370 0.451361 -0.415100
34 12 2 0.000000 8.921140 29.440500 16.151000
35 12 1 0.000000 8.443570 29.845386 15.426900
36 12 1 0.000000 9.793620 29.832300 16.111800
37 13 2 0.000000 13.417100 4.399160 14.031400
38 13 1 0.000000 13.210700 5.322100 14.179100
39 13 1 0.000000 13.016000 3.942260 14.770700
40 14 2 0.000000 16.020500 3.924500 13.609100
41 14 1 0.000000 15.089800 4.145830 13.639800
42 14 1 0.000000 16.401500 4.385350 14.356500
43 15 2 0.000000 9.560680 4.557920 16.485900
44 15 1 0.000000 9.639050 5.507420 16.578200
45 15 1 0.000000 8.964150 4.296990 17.187500
46 16 2 0.000000 11.507500 0.439475 16.442300
47 16 1 0.000000 11.386400 1.385710 16.363600
48 16 1 0.000000 12.044400 0.202499 15.686200
49 17 2 0.000000 4.247450 3.616470 11.388800
50 17 1 0.000000 3.448920 4.050480 11.088500
51 17 1 0.000000 4.520580 4.120280 12.155500
52 18 2 0.000000 5.259620 29.545500 13.463600
53 18 1 0.000000 4.843280 29.875178 12.667200
54 18 1 0.000000 6.049610 30.077441 13.559300
55 19 2 0.000000 0.267522 1.199510 13.624000
56 19 1 0.000000 0.224345 2.152270 13.542600
57 19 1 0.000000 0.524661 0.895732 12.753400
58 20 2 0.000000 1.358530 0.152828 11.366100
59 20 1 0.000000 0.997767 0.398464 10.514200
60 20 1 0.000000 2.298960 0.310665 11.283000
61 21 2 0.000000 5.756820 4.398370 9.141900
62 21 1 0.000000 5.646130 5.347870 9.191030
63 21 1 0.000000 5.443890 4.076210 9.987190
64 22 2 0.000000 8.440310 3.435410 8.743530
65 22 1 0.000000 7.607660 3.877490 8.909310
