Timestep	Average_phi
1	0.507782
2	0.519820
3	0.514155
4	0.540975
5	0.521066
6	0.519582
7	0.542236
8	0.515184
9	0.531895
10	0.515924
11	0.562792
12	0.526984
13	0.518290
14	0.523097
15	0.519311
16	0.518606
17	0.557107
18	0.550968
19	0.541235
20	0.539817
21	0.526651
22	0.532823
23	0.537909
24	0.524854
25	0.538546
26	0.545994
27	0.526028
28	0.525737
29	0.528642
30	0.544631
31	0.540654
32	0.518720
33	0.574500
34	0.533051
35	0.570977
36	0.535037
37	0.541204
38	0.535339
39	0.530234
40	0.527721
41	0.540787
42	0.512362
43	0.546893
44	0.513030
45	0.532493
46	0.524040
47	0.518175
48	0.519781
49	0.524042
50	0.571071
51	0.521759
52	0.574772
53	0.515508
54	0.539058
55	0.509588
56	0.536793
57	0.527844
58	0.536953
59	0.538283
60	0.542647
61	0.546033
62	0.567937
63	0.544696
64	0.529086
65	0.550814
66	0.517700
67	0.513226
68	0.510818
69	0.521582
70	0.508332
71	0.504651
72	0.518352
73	0.516335
74	0.527141
75	0.515577
76	0.535559
77	0.522951
78	0.511767
79	0.508500
80	0.505737
81	0.516941
82	0.513044
83	0.509081
84	0.537047
85	0.504920
86	0.509994
87	0.523052
88	0.521446
89	0.532598
90	0.538702
91	0.534155
92	0.530804
93	0.540747
94	0.516869
95	0.554321
96	0.527293
97	0.527520
98	0.538525
99	0.520749
100	0.526944
101	0.521597
102	0.517035
103	0.537177
104	0.525891
105	0.526443
106	0.511961
107	0.523043
108	0.515138
109	0.515947
110	0.525005
111	0.506007
112	0.521697
113	0.516781
114	0.526251
115	0.540545
116	0.522427
117	0.528846
118	0.527433
119	0.542473
120	0.533291
121	0.518616
122	0.530178
123	0.541159
124	0.530999
125	0.562673
126	0.537309
127	0.531749
128	0.539456
129	0.512859
130	0.525842
131	0.516550
132	0.510323
133	0.518791
134	0.522194
135	0.534090
136	0.529059
137	0.526779
138	0.532156
139	0.518745
140	0.516765
141	0.520806
142	0.510971
143	0.518573
144	0.524789
145	0.532018
146	0.537595
147	0.517824
148	0.537078
149	0.514946
150	0.528934
151	0.517583
152	0.538095
153	0.522890
154	0.536680
155	0.528126
156	0.527414
157	0.524624
158	0.525588
159	0.534659
160	0.512967
161	0.529495
162	0.518863
163	0.526305
164	0.545407
165	0.522435
166	0.525362
167	0.530306
168	0.522041
169	0.541834
170	0.535763
171	0.525012
172	0.527861
173	0.559594
174	0.547299
175	0.534986
176	0.542383
177	0.509762
178	0.533777
179	0.515388
180	0.544983
181	0.519557
182	0.533203
183	0.515294
184	0.511217
185	0.516744
186	0.512905
187	0.521058
188	0.520599
189	0.532433
190	0.528281
191	0.535576
192	0.532275
193	0.538248
194	0.539492
195	0.539724
196	0.538176
197	0.533572
198	0.529661
199	0.520506
200	0.548700
201	0.521006
202	0.529737
203	0.525651
204	0.555571
205	0.546051
206	0.543762
207	0.565975
208	0.534248
209	0.546157
210	0.530211
211	0.529149
212	0.528239
213	0.539031
214	0.532507
215	0.517039
216	0.526757
217	0.533693
218	0.517127
219	0.536563
220	0.516154
221	0.533808
222	0.527901
223	0.517095
224	0.526516
225	0.523616
226	0.518800
227	0.534526
228	0.527342
229	0.531844
230	0.515688
231	0.532607
232	0.511504
233	0.515941
234	0.506231
235	0.525280
236	0.528901
237	0.517247
238	0.516672
239	0.529963
240	0.511582
241	0.533911
242	0.522992
243	0.534710
244	0.524161
245	0.527650
246	0.530014
247	0.520788
248	0.536823
249	0.521130
250	0.543021
251	0.513532
252	0.534381
253	0.531020
254	0.529037
255	0.544011
256	0.534834
257	0.545719
258	0.529111
259	0.529508
260	0.540766
261	0.533303
262	0.546462
263	0.527352
264	0.513044
265	0.532890
266	0.524946
267	0.553939
268	0.537371
269	0.527931
270	0.539307
271	0.531212
272	0.525712
273	0.517846
274	0.524272
275	0.544211
276	0.530117
277	0.539186
278	0.518490
279	0.533571
280	0.545507
281	0.514425
282	0.552508
283	0.522228
284	0.551924
285	0.526162
286	0.532286
287	0.550475
288	0.531921
289	0.557777
290	0.537088
291	0.542863
292	0.534144
293	0.540646
294	0.526928
295	0.527880
296	0.535337
297	0.520192
298	0.523782
299	0.514697
300	0.523137
301	0.529575
302	0.522297
303	0.542810
304	0.527241
305	0.535685
306	0.526711
307	0.517154
308	0.522458
309	0.523145
310	0.534407
311	0.521661
312	0.527203
313	0.524181
314	0.525567
315	0.520295
316	0.524368
317	0.525744
318	0.525206
319	0.519044
320	0.548133
321	0.523100
322	0.576162
323	0.528018
324	0.543889
325	0.515030
326	0.545211
327	0.513854
328	0.540712
329	0.535942
330	0.525237
331	0.548665
332	0.525968
333	0.547429
334	0.519295
335	0.534527
336	0.526844
337	0.528704
338	0.516391
339	0.527705
340	0.540051
341	0.523188
342	0.551534
343	0.530911
344	0.541609
345	0.520388
346	0.544323
347	0.525451
348	0.521036
349	0.531721
350	0.533340
351	0.527516
352	0.550655
353	0.531460
354	0.554519
355	0.546272
356	0.545531
357	0.551966
358	0.528447
359	0.539832
360	0.544320
361	0.525762
362	0.540726
363	0.540996
364	0.533182
365	0.581927
366	0.519952
367	0.574740
368	0.522393
369	0.585342
370	0.531887
371	0.553042
372	0.523866
373	0.543386
374	0.532998
375	0.538115
376	0.545641
377	0.529438
378	0.545067
379	0.533534
380	0.546792
381	0.538144
382	0.556361
383	0.539303
384	0.527245
385	0.532114
386	0.534195
387	0.543730
388	0.526462
389	0.547689
390	0.541783
391	0.553204
392	0.552933
393	0.550358
394	0.532835
395	0.538316
396	0.535598
397	0.545767
398	0.535167
399	0.534142
400	0.559291
401	0.538310
402	0.535415
403	0.550254
404	0.531787
405	0.559399
406	0.526776
407	0.548550
408	0.534917
409	0.618632
410	0.528659
411	0.571142
412	0.543058
413	0.549167
414	0.523793
415	0.538340
416	0.526995
417	0.535246
418	0.526311
419	0.537549
420	0.539830
421	0.526404
422	0.533026
423	0.534858
424	0.528205
425	0.541969
426	0.529126
427	0.529024
428	0.542344
429	0.546078
430	0.566049
431	0.531986
432	0.532035
433	0.557557
434	0.544408
435	0.571924
436	0.538154
437	0.550732
438	0.552761
439	0.529480
440	0.583937
441	0.531259
442	0.613513
443	0.544892
444	0.547885
445	0.534569
446	0.540682
447	0.527314
448	0.546555
449	0.535283
450	0.534201
451	0.531118
452	0.544785
453	0.553518
454	0.548290
455	0.561492
456	0.537031
457	0.536908
458	0.542136
459	0.536165
460	0.545066
461	0.533711
462	0.550135
463	0.583264
464	0.542639
465	0.587466
466	0.557087
467	0.569868
468	0.550106
469	0.570831
470	0.550461
471	0.546962
472	0.572941
473	0.556184
474	0.566886
475	0.547701
476	0.577669
477	0.544793
478	0.562946
479	0.538825
480	0.541830
481	0.551866
482	0.558757
483	0.561898
484	0.554544
485	0.566038
486	0.532108
487	0.556745
488	0.545540
489	0.596731
490	0.538293
491	0.580662
492	0.554891
493	0.577227
494	0.535320
495	0.580181
496	0.547018
497	0.594910
498	0.553633
499	0.558854
500	0.551014
501	0.561531
502	0.535719
503	0.555181
504	0.571075
505	0.566060
506	0.583383
507	0.561997
508	0.582566
509	0.567126
510	0.551867
511	0.596626
512	0.571995
513	0.595311
514	0.585053
515	0.587250
516	0.569869
517	0.556472
518	0.555862
519	0.554220
520	0.570946
521	0.576360
522	0.578508
523	0.591887
524	0.561569
525	0.544154
526	0.558127
527	0.565774
528	0.568105
529	0.561964
530	0.573947
531	0.566071
532	0.570075
533	0.574847
534	0.565733
535	0.584775
536	0.550293
537	0.608490
538	0.560676
539	0.569736
540	0.602345
541	0.567285
542	0.592611
543	0.571008
544	0.552852
545	0.608144
546	0.554619
547	0.601874
548	0.554911
549	0.553225
550	0.573594
551	0.549109
552	0.553131
553	0.564212
554	0.551633
555	0.566902
556	0.565998
557	0.547955
558	0.576585
559	0.557670
560	0.552837
561	0.569070
562	0.572940
563	0.579059
564	0.567535
565	0.560786
566	0.550885
567	0.572934
568	0.556865
569	0.586550
570	0.555991
571	0.616104
572	0.563890
573	0.591362
574	0.593034
575	0.593181
576	0.578167
577	0.566630
578	0.558996
579	0.553166
580	0.561296
581	0.570960
582	0.618344
583	0.591919
584	0.589077
585	0.597154
586	0.643880
587	0.574642
588	0.616384
589	0.643798
590	0.564860
591	0.569237
592	0.603357
593	0.569193
594	0.600454
595	0.573388
596	0.601466
597	0.548056
598	0.608292
599	0.572474
600	0.643882
601	0.575672
602	0.703715
603	0.608818
604	0.668873
605	0.711909
606	0.716546
607	0.708326
608	0.659444
609	0.752351
610	0.644407
611	0.693126
612	0.722111
613	0.729688
614	0.677635
615	0.702512
616	0.688070
617	0.703404
618	0.737692
619	0.704488
620	0.748152
621	0.712411
622	0.722350
623	0.785780
624	0.750409
625	0.779256
626	0.824486
627	0.784601
628	0.825342
629	0.735167
630	0.828855
631	0.740975
632	0.819067
633	0.795890
634	0.827255
635	0.762344
636	0.831571
637	0.777777
638	0.829775
639	0.794357
640	0.820987
641	0.827562
642	0.807842
643	0.804990
644	0.806833
645	0.759532
646	0.810328
647	0.730321
648	0.819865
649	0.761722
650	0.833401
651	0.820246
652	0.801068
653	0.788657
654	0.744461
655	0.772222
656	0.765585
657	0.819867
658	0.826444
659	0.819946
660	0.828568
661	0.813945
662	0.797954
663	0.799519
664	0.829737
665	0.841844
666	0.836967
667	0.801329
668	0.836468
669	0.834485
670	0.831920
671	0.829887
672	0.844047
673	0.831665
