Total timesteps processed: 3000
Histogram of per-particle tilde{q}_6 values (over entire trajectory):
Bin_Range	Count
[ -0.635712 ,-0.603561):	1
[ -0.603561 ,-0.571409):	2
[ -0.571409 ,-0.539258):	4
[ -0.539258 ,-0.507106):	5
[ -0.507106 ,-0.474955):	11
[ -0.474955 ,-0.442803):	28
[ -0.442803 ,-0.410652):	45
[ -0.410652 ,-0.378500):	75
[ -0.378500 ,-0.346349):	105
[ -0.346349 ,-0.314198):	145
[ -0.314198 ,-0.282046):	311
[ -0.282046 ,-0.249895):	447
[ -0.249895 ,-0.217743):	654
[ -0.217743 ,-0.185592):	897
[ -0.185592 ,-0.153440):	1245
[ -0.153440 ,-0.121289):	1714
[ -0.121289 ,-0.089137):	2397
[ -0.089137 ,-0.056986):	3040
[ -0.056986 ,-0.024834):	4010
[ -0.024834 ,0.007317):	5041
[ 0.007317 ,0.039469):	6462
[ 0.039469 ,0.071620):	7764
[ 0.071620 ,0.103772):	9517
[ 0.103772 ,0.135923):	11110
[ 0.135923 ,0.168075):	13463
[ 0.168075 ,0.200226):	15579
[ 0.200226 ,0.232378):	18204
[ 0.232378 ,0.264529):	20956
[ 0.264529 ,0.296681):	23808
[ 0.296681 ,0.328832):	27226
[ 0.328832 ,0.360984):	31590
[ 0.360984 ,0.393135):	36388
[ 0.393135 ,0.425287):	43238
[ 0.425287 ,0.457438):	52480
[ 0.457438 ,0.489590):	64974
[ 0.489590 ,0.521741):	82361
[ 0.521741 ,0.553893):	107865
[ 0.553893 ,0.586044):	143096
[ 0.586044 ,0.618196):	193719
[ 0.618196 ,0.650347):	263698
[ 0.650347 ,0.682499):	355487
[ 0.682499 ,0.714650):	477639
[ 0.714650 ,0.746802):	623818
[ 0.746802 ,0.778953):	769496
[ 0.778953 ,0.811105):	870159
[ 0.811105 ,0.843256):	841854
[ 0.843256 ,0.875408):	633740
[ 0.875408 ,0.907559):	308750
[ 0.907559 ,0.939711):	66589
[ 0.939711 ,0.971862):	2793
