Timestep	Average_tilde_q6
1	0.656419
2	0.661016
3	0.656412
4	0.656265
5	0.658559
6	0.664324
7	0.656662
8	0.650428
9	0.644414
10	0.638162
11	0.650716
12	0.649121
13	0.660899
14	0.657093
15	0.645969
16	0.650717
17	0.646555
18	0.655076
19	0.650005
20	0.650888
21	0.660131
22	0.652724
23	0.651954
24	0.655918
25	0.659564
26	0.659121
27	0.653927
28	0.652658
29	0.648310
30	0.652745
31	0.649321
32	0.642626
33	0.654427
34	0.652473
35	0.652988
36	0.653275
37	0.651106
38	0.647192
39	0.645654
40	0.649680
41	0.650547
42	0.647328
43	0.649805
44	0.649349
45	0.651039
46	0.650522
47	0.651719
48	0.657321
49	0.644084
50	0.656300
51	0.658921
52	0.648224
53	0.652558
54	0.665540
55	0.650511
56	0.649190
57	0.649751
58	0.642604
59	0.654580
60	0.661090
61	0.658294
62	0.660750
63	0.660870
64	0.655942
65	0.650626
66	0.641853
67	0.642621
68	0.650952
69	0.656517
70	0.652014
71	0.656540
72	0.649478
73	0.657782
74	0.658015
75	0.651575
76	0.649716
77	0.648486
78	0.649550
79	0.657196
80	0.664091
81	0.654741
82	0.654748
83	0.661123
84	0.652748
85	0.660604
86	0.649672
87	0.648650
88	0.648253
89	0.660195
90	0.657768
91	0.645064
92	0.642759
93	0.655731
94	0.660243
95	0.650120
96	0.648631
97	0.654831
98	0.645389
99	0.646418
100	0.648411
101	0.649597
102	0.647125
103	0.656863
104	0.651489
105	0.653684
106	0.655666
107	0.662688
108	0.659784
109	0.652232
110	0.659371
111	0.655542
112	0.653927
113	0.653911
114	0.653971
115	0.656098
116	0.668131
117	0.659571
118	0.660841
119	0.658316
120	0.657442
121	0.659503
122	0.657625
123	0.654889
124	0.658914
125	0.664701
126	0.660697
127	0.671494
128	0.657923
129	0.652486
130	0.658883
131	0.661563
132	0.660762
133	0.653659
134	0.662115
135	0.661962
136	0.662077
137	0.675320
138	0.669761
139	0.662057
140	0.665324
141	0.671128
142	0.654568
143	0.666246
144	0.659359
145	0.661054
146	0.678700
147	0.666718
148	0.664053
149	0.665925
150	0.669726
151	0.665920
152	0.665448
153	0.668741
154	0.669301
155	0.667638
156	0.671899
157	0.666863
158	0.664298
159	0.660482
160	0.654287
161	0.656093
162	0.659771
163	0.671433
164	0.661658
165	0.669162
166	0.672555
167	0.665926
168	0.667476
169	0.671449
170	0.664750
171	0.672522
172	0.660882
173	0.667323
174	0.665675
175	0.657886
176	0.657339
177	0.659555
178	0.665764
179	0.663689
180	0.668824
181	0.677116
182	0.673895
183	0.660259
184	0.661501
185	0.663500
186	0.650908
187	0.668163
188	0.676390
189	0.664273
190	0.669534
191	0.660693
192	0.660838
193	0.662127
194	0.662119
195	0.676267
196	0.670257
197	0.670880
198	0.673932
199	0.660642
200	0.664433
201	0.665178
202	0.659048
203	0.658396
204	0.660248
205	0.671312
206	0.666618
207	0.660297
208	0.662244
209	0.660318
210	0.654931
211	0.662358
212	0.665895
213	0.656348
214	0.664534
215	0.666886
216	0.665166
217	0.666841
218	0.663688
219	0.661099
220	0.662846
221	0.646828
222	0.650731
223	0.664753
224	0.668131
225	0.659033
226	0.659975
227	0.671727
228	0.661910
229	0.660635
230	0.661110
231	0.655615
232	0.659619
233	0.656443
234	0.651937
235	0.660385
236	0.660299
237	0.661714
238	0.656795
239	0.667017
240	0.668718
241	0.656465
242	0.661154
243	0.673000
244	0.663832
245	0.661626
246	0.664392
247	0.662466
248	0.656311
249	0.666507
250	0.661838
251	0.660547
252	0.658071
253	0.663154
254	0.656386
255	0.655524
256	0.656813
257	0.660817
258	0.665769
259	0.669433
260	0.678759
261	0.669684
262	0.656917
263	0.667868
264	0.658690
265	0.667977
266	0.676322
267	0.664753
268	0.662126
269	0.665997
270	0.659539
271	0.652440
272	0.666205
273	0.663379
274	0.658197
275	0.664007
276	0.661060
277	0.675452
278	0.671919
279	0.669244
280	0.675141
281	0.671123
282	0.660288
283	0.667113
284	0.669392
285	0.667421
286	0.671445
287	0.666463
288	0.661364
289	0.666021
290	0.661010
291	0.669011
292	0.677014
293	0.665697
294	0.673238
295	0.670284
296	0.669441
297	0.661672
298	0.659511
299	0.662069
300	0.670857
301	0.672841
302	0.674334
303	0.680312
304	0.676061
305	0.679026
306	0.673614
307	0.662641
308	0.670151
309	0.665506
310	0.668475
311	0.677001
312	0.675687
313	0.669154
314	0.661707
315	0.657821
316	0.664435
317	0.672743
318	0.675386
319	0.671925
320	0.677566
321	0.682001
322	0.680892
323	0.677559
324	0.669615
325	0.665995
326	0.659535
327	0.670742
328	0.672116
329	0.671844
330	0.682389
331	0.675345
332	0.683707
333	0.674958
334	0.674540
335	0.669169
336	0.673842
337	0.677401
338	0.673187
339	0.675314
340	0.673380
